Metricas de partida
===================
Fecha: 2026-05-25T10:10:11
Modo: pixeles
Saltos: 155
Tiempo total: 193.34 segundos
Tiempo primer-ultimo salto: 108.87 segundos
Puntaje final: None

Eventos detectados
------------------
60.04s | detectado=cactus | accion=saltar
60.18s | detectado=cactus | accion=saltar
60.32s | detectado=cactus | accion=saltar
60.77s | detectado=cactus | accion=saltar
60.92s | detectado=cactus | accion=saltar
61.68s | detectado=cactus | accion=saltar
61.82s | detectado=cactus | accion=saltar
62.00s | detectado=cactus | accion=saltar
63.19s | detectado=cactus | accion=saltar
63.33s | detectado=cactus | accion=saltar
63.47s | detectado=cactus | accion=saltar
64.57s | detectado=cactus | accion=saltar
64.70s | detectado=cactus | accion=saltar
65.41s | detectado=cactus | accion=saltar
65.56s | detectado=cactus | accion=saltar
66.03s | detectado=cactus | accion=saltar
66.19s | detectado=cactus | accion=saltar
66.32s | detectado=cactus | accion=saltar
66.84s | detectado=cactus | accion=saltar
66.99s | detectado=cactus | accion=saltar
67.14s | detectado=cactus | accion=saltar
67.86s | detectado=cactus | accion=saltar
68.00s | detectado=cactus | accion=saltar
68.76s | detectado=cactus | accion=saltar
69.00s | detectado=cactus | accion=saltar
69.80s | detectado=cactus | accion=saltar
69.93s | detectado=cactus | accion=saltar
107.34s | detectado=cactus | accion=saltar
107.49s | detectado=cactus | accion=saltar
107.74s | detectado=cactus | accion=saltar
108.24s | detectado=cactus | accion=saltar
108.38s | detectado=cactus | accion=saltar
108.52s | detectado=cactus | accion=saltar
109.42s | detectado=cactus | accion=saltar
109.55s | detectado=cactus | accion=saltar
110.33s | detectado=cactus | accion=saltar
110.48s | detectado=cactus | accion=saltar
110.64s | detectado=cactus | accion=saltar
111.88s | detectado=cactus | accion=saltar
112.04s | detectado=cactus | accion=saltar
113.20s | detectado=cactus | accion=saltar
113.36s | detectado=cactus | accion=saltar
113.51s | detectado=cactus | accion=saltar
114.19s | detectado=cactus | accion=saltar
114.34s | detectado=cactus | accion=saltar
114.50s | detectado=cactus | accion=saltar
115.24s | detectado=cactus | accion=saltar
115.42s | detectado=cactus | accion=saltar
115.57s | detectado=cactus | accion=saltar
116.82s | detectado=cactus | accion=saltar
116.97s | detectado=cactus | accion=saltar
117.85s | detectado=cactus | accion=saltar
118.01s | detectado=cactus | accion=saltar
118.91s | detectado=cactus | accion=saltar
119.07s | detectado=cactus | accion=saltar
120.23s | detectado=cactus | accion=saltar
120.39s | detectado=cactus | accion=saltar
120.99s | detectado=cactus | accion=saltar
121.18s | detectado=cactus | accion=saltar
122.04s | detectado=cactus | accion=saltar
122.18s | detectado=cactus | accion=saltar
122.33s | detectado=cactus | accion=saltar
122.98s | detectado=cactus | accion=saltar
123.14s | detectado=cactus | accion=saltar
123.28s | detectado=cactus | accion=saltar
123.78s | detectado=cactus | accion=saltar
123.94s | detectado=cactus | accion=saltar
124.09s | detectado=cactus | accion=saltar
125.25s | detectado=cactus | accion=saltar
125.44s | detectado=cactus | accion=saltar
125.92s | detectado=cactus | accion=saltar
126.09s | detectado=cactus | accion=saltar
127.05s | detectado=cactus | accion=saltar
127.21s | detectado=cactus | accion=saltar
127.35s | detectado=cactus | accion=saltar
128.07s | detectado=cactus | accion=saltar
