Metricas de partida
===================
Fecha: 2026-05-25T10:45:00
Modo: pixeles
Saltos: 143
Tiempo total: 136.09 segundos
Tiempo primer-ultimo salto: 85.78 segundos
Puntaje final: None

Eventos detectados
------------------
41.58s | detectado=cactus | accion=saltar
41.75s | detectado=cactus | accion=saltar
42.44s | detectado=cactus | accion=saltar
42.60s | detectado=cactus | accion=saltar
43.61s | detectado=cactus | accion=saltar
43.76s | detectado=cactus | accion=saltar
43.91s | detectado=cactus | accion=saltar
44.38s | detectado=cactus | accion=saltar
44.52s | detectado=cactus | accion=saltar
44.67s | detectado=cactus | accion=saltar
44.82s | detectado=cactus | accion=saltar
45.75s | detectado=cactus | accion=saltar
45.90s | detectado=cactus | accion=saltar
46.04s | detectado=cactus | accion=saltar
46.51s | detectado=cactus | accion=saltar
46.65s | detectado=cactus | accion=saltar
47.62s | detectado=cactus | accion=saltar
47.76s | detectado=cactus | accion=saltar
48.67s | detectado=cactus | accion=saltar
48.81s | detectado=cactus | accion=saltar
50.37s | detectado=cactus | accion=saltar
50.51s | detectado=cactus | accion=saltar
50.70s | detectado=cactus | accion=saltar
52.19s | detectado=cactus | accion=saltar
52.35s | detectado=cactus | accion=saltar
53.19s | detectado=cactus | accion=saltar
53.34s | detectado=cactus | accion=saltar
54.22s | detectado=cactus | accion=saltar
54.38s | detectado=cactus | accion=saltar
54.51s | detectado=cactus | accion=saltar
54.96s | detectado=cactus | accion=saltar
55.10s | detectado=cactus | accion=saltar
55.66s | detectado=cactus | accion=saltar
55.84s | detectado=cactus | accion=saltar
56.66s | detectado=cactus | accion=saltar
56.80s | detectado=cactus | accion=saltar
56.94s | detectado=cactus | accion=saltar
58.07s | detectado=cactus | accion=saltar
58.22s | detectado=cactus | accion=saltar
59.38s | detectado=cactus | accion=saltar
59.52s | detectado=cactus | accion=saltar
59.66s | detectado=cactus | accion=saltar
61.06s | detectado=cactus | accion=saltar
61.20s | detectado=cactus | accion=saltar
61.35s | detectado=cactus | accion=saltar
62.33s | detectado=cactus | accion=saltar
62.48s | detectado=cactus | accion=saltar
63.45s | detectado=cactus | accion=saltar
63.58s | detectado=cactus | accion=saltar
64.31s | detectado=cactus | accion=saltar
64.47s | detectado=cactus | accion=saltar
64.63s | detectado=cactus | accion=saltar
66.56s | detectado=cactus | accion=saltar
66.69s | detectado=cactus | accion=saltar
68.25s | detectado=cactus | accion=saltar
68.40s | detectado=cactus | accion=saltar
69.42s | detectado=cactus | accion=saltar
69.55s | detectado=cactus | accion=saltar
70.35s | detectado=cactus | accion=saltar
70.51s | detectado=cactus | accion=saltar
71.76s | detectado=cactus | accion=saltar
71.92s | detectado=cactus | accion=saltar
73.44s | detectado=cactus | accion=saltar
73.57s | detectado=cactus | accion=saltar
74.90s | detectado=cactus | accion=saltar
75.06s | detectado=cactus | accion=saltar
75.56s | detectado=cactus | accion=saltar
75.72s | detectado=cactus | accion=saltar
76.59s | detectado=cactus | accion=saltar
76.73s | detectado=cactus | accion=saltar
76.87s | detectado=cactus | accion=saltar
77.98s | detectado=cactus | accion=saltar
78.13s | detectado=cactus | accion=saltar
81.25s | detectado=cactus | accion=saltar
81.38s | detectado=cactus | accion=saltar
82.14s | detectado=pajaro | accion=saltar
82.28s | detectado=pajaro | accion=saltar
83.53s | detectado=cactus | accion=saltar
83.69s | detectado=cactus | accion=saltar
83.83s | detectado=cactus | accion=saltar
85.11s | detectado=cactus | accion=saltar
85.25s | detectado=cactus | accion=saltar
86.40s | detectado=cactus | accion=saltar
86.55s | detectado=cactus | accion=saltar
87.99s | detectado=cactus | accion=saltar
88.14s | detectado=cactus | accion=saltar
