Metricas de partida
===================
Fecha: 2026-05-25T09:21:42
Modo: sift_mascaras
Saltos: 91
Tiempo total: 65.71 segundos
Tiempo primer-ultimo salto: 52.26 segundos
Puntaje final: 654

Eventos detectados
------------------
5.91s | detectado=cactus | accion=saltar
6.06s | detectado=cactus | accion=saltar
6.79s | detectado=cactus | accion=saltar
6.94s | detectado=cactus | accion=saltar
7.53s | detectado=cactus | accion=saltar
7.69s | detectado=cactus | accion=saltar
7.82s | detectado=cactus | accion=saltar
8.41s | detectado=cactus | accion=saltar
8.55s | detectado=cactus | accion=saltar
9.22s | detectado=cactus | accion=saltar
9.37s | detectado=cactus | accion=saltar
10.30s | detectado=cactus | accion=saltar
10.45s | detectado=cactus | accion=saltar
10.60s | detectado=cactus | accion=saltar
12.14s | detectado=cactus | accion=saltar
12.28s | detectado=cactus | accion=saltar
13.25s | detectado=cactus | accion=saltar
13.39s | detectado=cactus | accion=saltar
14.40s | detectado=cactus | accion=saltar
14.58s | detectado=cactus | accion=saltar
15.20s | detectado=cactus | accion=saltar
15.34s | detectado=cactus | accion=saltar
16.68s | detectado=cactus | accion=saltar
16.84s | detectado=cactus | accion=saltar
18.05s | detectado=cactus | accion=saltar
18.19s | detectado=cactus | accion=saltar
18.90s | detectado=cactus | accion=saltar
19.05s | detectado=cactus | accion=saltar
19.72s | detectado=cactus | accion=saltar
19.87s | detectado=cactus | accion=saltar
20.88s | detectado=cactus | accion=saltar
21.02s | detectado=cactus | accion=saltar
22.02s | detectado=cactus | accion=saltar
22.18s | detectado=cactus | accion=saltar
22.34s | detectado=cactus | accion=saltar
23.74s | detectado=cactus | accion=saltar
23.87s | detectado=cactus | accion=saltar
25.36s | detectado=cactus | accion=saltar
25.51s | detectado=cactus | accion=saltar
26.92s | detectado=cactus | accion=saltar
27.09s | detectado=cactus | accion=saltar
27.95s | detectado=cactus | accion=saltar
28.09s | detectado=cactus | accion=saltar
29.55s | detectado=cactus | accion=saltar
29.70s | detectado=cactus | accion=saltar
31.09s | detectado=cactus | accion=saltar
31.30s | detectado=cactus | accion=saltar
32.67s | detectado=cactus | accion=saltar
32.84s | detectado=cactus | accion=saltar
34.22s | detectado=cactus | accion=saltar
34.37s | detectado=cactus | accion=saltar
35.17s | detectado=cactus | accion=saltar
35.37s | detectado=cactus | accion=saltar
36.61s | detectado=cactus | accion=saltar
36.76s | detectado=cactus | accion=saltar
37.70s | detectado=cactus | accion=saltar
37.85s | detectado=cactus | accion=saltar
38.71s | detectado=cactus | accion=saltar
38.91s | detectado=cactus | accion=saltar
40.20s | detectado=cactus | accion=saltar
40.40s | detectado=cactus | accion=saltar
41.69s | detectado=cactus | accion=saltar
42.32s | detectado=cactus | accion=saltar
42.47s | detectado=cactus | accion=saltar
43.25s | detectado=cactus | accion=saltar
43.38s | detectado=cactus | accion=saltar
44.20s | detectado=cactus | accion=saltar
44.33s | detectado=cactus | accion=saltar
45.08s | detectado=cactus | accion=saltar
45.21s | detectado=pajaro_bajo | accion=saltar
46.41s | detectado=cactus | accion=saltar
46.56s | detectado=cactus | accion=saltar
47.41s | detectado=cactus | accion=saltar
47.57s | detectado=cactus | accion=saltar
48.91s | detectado=cactus | accion=saltar
49.06s | detectado=cactus | accion=saltar
50.31s | detectado=cactus | accion=saltar
50.53s | detectado=cactus | accion=saltar
51.66s | detectado=cactus | accion=saltar
51.84s | detectado=cactus | accion=saltar
53.02s | detectado=cactus | accion=saltar
53.17s | detectado=cactus | accion=saltar
54.30s | detectado=cactus | accion=saltar
54.45s | detectado=cactus | accion=saltar
55.53s | detectado=cactus | accion=saltar
55.68s | detectado=cactus | accion=saltar
56.71s | detectado=cactus | accion=saltar
56.86s | detectado=cactus | accion=saltar
57.48s | detectado=cactus | accion=saltar
58.02s | detectado=cactus | accion=saltar
58.17s | detectado=cactus | accion=saltar
