Metricas de partida
===================
Fecha: 2026-05-25T08:40:52
Modo: pixeles
Saltos: 181
Tiempo total: 134.61 segundos
Tiempo primer-ultimo salto: 123.35 segundos
Puntaje final: 1402
cambios: 2
Eventos detectados
------------------
122.95s | detectado=cactus | accion=saltar
123.09s | detectado=cactus | accion=saltar
123.99s | detectado=pajaro | accion=saltar
124.13s | detectado=cactus | accion=saltar
125.04s | detectado=cactus | accion=saltar
125.18s | detectado=cactus | accion=saltar
126.01s | detectado=cactus | accion=saltar
126.94s | detectado=cactus | accion=saltar
127.84s | detectado=cactus | accion=saltar
127.97s | detectado=cactus | accion=saltar
128.46s | detectado=pajaro | accion=saltar
128.60s | detectado=pajaro | accion=saltar
128.74s | detectado=pajaro | accion=saltar
128.90s | detectado=cactus | accion=saltar
129.05s | detectado=pajaro | accion=saltar
129.20s | detectado=pajaro | accion=saltar
129.34s | detectado=pajaro | accion=saltar
129.48s | detectado=pajaro | accion=saltar
129.62s | detectado=pajaro | accion=saltar
129.76s | detectado=pajaro | accion=saltar
129.90s | detectado=pajaro | accion=saltar
130.04s | detectado=pajaro | accion=saltar
130.18s | detectado=pajaro | accion=saltar
130.33s | detectado=pajaro | accion=saltar
130.48s | detectado=pajaro | accion=saltar
130.63s | detectado=pajaro | accion=saltar
130.78s | detectado=pajaro | accion=saltar
131.03s | detectado=pajaro | accion=saltar
