Metricas de partida
===================
Fecha: 2026-05-25T08:48:14
Modo: pixeles
Saltos: 164
Tiempo total: 122.24 segundos
Tiempo primer-ultimo salto: 105.92 segundos
Puntaje final: 1544
cambios:2
Eventos detectados
------------------
109.34s | detectado=cactus | accion=saltar
110.28s | detectado=cactus | accion=saltar
110.42s | detectado=cactus | accion=saltar
111.24s | detectado=cactus | accion=saltar
112.19s | detectado=cactus | accion=saltar
112.35s | detectado=cactus | accion=saltar
113.15s | detectado=cactus | accion=saltar
114.07s | detectado=cactus | accion=saltar
114.26s | detectado=cactus | accion=saltar
114.44s | detectado=cactus | accion=saltar
115.12s | detectado=cactus | accion=saltar
115.25s | detectado=cactus | accion=saltar
