Metricas de partida
===================
Fecha: 2026-05-25T08:50:21
Modo: pixeles
Saltos: 121
Tiempo total: 96.91 segundos
Tiempo primer-ultimo salto: 80.07 segundos
Puntaje final: 1081
cambios:1
Eventos detectados
------------------
8.94s | detectado=pajaro | accion=saltar
9.08s | detectado=cactus | accion=saltar
10.73s | detectado=cactus | accion=saltar
10.86s | detectado=cactus | accion=saltar
12.79s | detectado=pajaro | accion=saltar
12.94s | detectado=cactus | accion=saltar
13.09s | detectado=cactus | accion=saltar
15.12s | detectado=pajaro | accion=saltar
15.26s | detectado=cactus | accion=saltar
15.39s | detectado=cactus | accion=saltar
17.11s | detectado=cactus | accion=saltar
17.25s | detectado=cactus | accion=saltar
19.05s | detectado=pajaro | accion=saltar
19.18s | detectado=cactus | accion=saltar
19.31s | detectado=cactus | accion=saltar
20.88s | detectado=cactus | accion=saltar
21.02s | detectado=cactus | accion=saltar
21.16s | detectado=cactus | accion=saltar
22.62s | detectado=cactus | accion=saltar
22.75s | detectado=cactus | accion=saltar
22.89s | detectado=cactus | accion=saltar
24.24s | detectado=cactus | accion=saltar
24.38s | detectado=cactus | accion=saltar
26.06s | detectado=pajaro | accion=saltar
26.20s | detectado=cactus | accion=saltar
26.33s | detectado=cactus | accion=saltar
27.77s | detectado=cactus | accion=saltar
27.90s | detectado=cactus | accion=saltar
28.07s | detectado=cactus | accion=saltar
29.32s | detectado=cactus | accion=saltar
29.48s | detectado=cactus | accion=saltar
29.61s | detectado=cactus | accion=saltar
30.89s | detectado=pajaro | accion=saltar
31.02s | detectado=cactus | accion=saltar
32.33s | detectado=pajaro | accion=saltar
32.46s | detectado=cactus | accion=saltar
33.87s | detectado=cactus | accion=saltar
34.01s | detectado=cactus | accion=saltar
34.15s | detectado=cactus | accion=saltar
35.53s | detectado=cactus | accion=saltar
35.68s | detectado=cactus | accion=saltar
37.07s | detectado=pajaro | accion=saltar
37.20s | detectado=cactus | accion=saltar
38.64s | detectado=pajaro | accion=saltar
38.78s | detectado=cactus | accion=saltar
40.09s | detectado=cactus | accion=saltar
40.24s | detectado=cactus | accion=saltar
41.48s | detectado=cactus | accion=saltar
41.62s | detectado=cactus | accion=saltar
42.91s | detectado=cactus | accion=saltar
43.04s | detectado=cactus | accion=saltar
44.23s | detectado=cactus | accion=saltar
44.37s | detectado=cactus | accion=saltar
45.53s | detectado=pajaro | accion=saltar
45.66s | detectado=cactus | accion=saltar
46.79s | detectado=pajaro | accion=saltar
46.93s | detectado=cactus | accion=saltar
48.09s | detectado=cactus | accion=saltar
48.23s | detectado=cactus | accion=saltar
49.47s | detectado=cactus | accion=saltar
49.61s | detectado=cactus | accion=saltar
50.79s | detectado=pajaro | accion=saltar
50.93s | detectado=cactus | accion=saltar
52.12s | detectado=cactus | accion=saltar
52.26s | detectado=cactus | accion=saltar
53.52s | detectado=cactus | accion=saltar
53.66s | detectado=cactus | accion=saltar
54.82s | detectado=cactus | accion=saltar
54.96s | detectado=cactus | accion=saltar
55.96s | detectado=cactus | accion=saltar
56.11s | detectado=cactus | accion=saltar
57.21s | detectado=cactus | accion=saltar
57.35s | detectado=cactus | accion=saltar
58.46s | detectado=cactus | accion=saltar
58.60s | detectado=cactus | accion=saltar
59.72s | detectado=cactus | accion=saltar
59.86s | detectado=cactus | accion=saltar
60.91s | detectado=pajaro | accion=saltar
61.04s | detectado=cactus | accion=saltar
62.10s | detectado=cactus | accion=saltar
63.28s | detectado=cactus | accion=saltar
63.41s | detectado=cactus | accion=saltar
64.54s | detectado=cactus | accion=saltar
64.69s | detectado=cactus | accion=saltar
65.77s | detectado=cactus | accion=saltar
65.93s | detectado=cactus | accion=saltar
67.11s | detectado=cactus | accion=saltar
67.26s | detectado=cactus | accion=saltar
68.39s | detectado=cactus | accion=saltar
69.57s | detectado=cactus | accion=saltar
70.75s | detectado=cactus | accion=saltar
70.90s | detectado=cactus | accion=saltar
72.08s | detectado=cactus | accion=saltar
72.22s | detectado=cactus | accion=saltar
73.25s | detectado=cactus | accion=saltar
74.36s | detectado=cactus | accion=saltar
74.51s | detectado=cactus | accion=saltar
75.53s | detectado=cactus | accion=saltar
75.66s | detectado=cactus | accion=saltar
76.62s | detectado=cactus | accion=saltar
76.75s | detectado=cactus | accion=saltar
77.87s | detectado=cactus | accion=saltar
78.02s | detectado=cactus | accion=saltar
78.97s | detectado=cactus | accion=saltar
79.11s | detectado=cactus | accion=saltar
80.03s | detectado=cactus | accion=saltar
80.17s | detectado=cactus | accion=saltar
81.16s | detectado=cactus | accion=saltar
81.30s | detectado=cactus | accion=saltar
82.23s | detectado=cactus | accion=saltar
83.43s | detectado=pajaro | accion=saltar
83.57s | detectado=cactus | accion=saltar
84.54s | detectado=pajaro | accion=saltar
84.68s | detectado=cactus | accion=saltar
85.62s | detectado=cactus | accion=saltar
85.75s | detectado=cactus | accion=saltar
86.73s | detectado=cactus | accion=saltar
86.88s | detectado=cactus | accion=saltar
87.82s | detectado=cactus | accion=saltar
87.96s | detectado=cactus | accion=saltar
89.00s | detectado=cactus | accion=saltar
