Metricas de partida
===================
Fecha: 2026-05-25T08:28:29
Modo: pixeles
Saltos: 114
Tiempo total: 107.41 segundos
Tiempo primer-ultimo salto: 93.38 segundos
Puntaje final: 603

Eventos detectados
------------------
10.92s | detectado=cactus | accion=saltar
11.06s | detectado=cactus | accion=saltar
11.21s | detectado=cactus | accion=saltar
11.91s | detectado=cactus | accion=saltar
12.06s | detectado=cactus | accion=saltar
12.89s | detectado=cactus | accion=saltar
13.03s | detectado=cactus | accion=saltar
13.19s | detectado=cactus | accion=saltar
14.16s | detectado=cactus | accion=saltar
14.29s | detectado=cactus | accion=saltar
14.44s | detectado=cactus | accion=saltar
15.25s | detectado=cactus | accion=saltar
15.41s | detectado=cactus | accion=saltar
16.09s | detectado=cactus | accion=saltar
16.24s | detectado=cactus | accion=saltar
16.81s | detectado=cactus | accion=saltar
16.94s | detectado=cactus | accion=saltar
17.60s | detectado=cactus | accion=saltar
17.73s | detectado=cactus | accion=saltar
17.89s | detectado=cactus | accion=saltar
19.05s | detectado=cactus | accion=saltar
19.18s | detectado=cactus | accion=saltar
20.10s | detectado=cactus | accion=saltar
20.25s | detectado=cactus | accion=saltar
21.03s | detectado=cactus | accion=saltar
21.18s | detectado=cactus | accion=saltar
22.24s | detectado=cactus | accion=saltar
22.39s | detectado=cactus | accion=saltar
23.23s | detectado=cactus | accion=saltar
23.38s | detectado=cactus | accion=saltar
24.19s | detectado=cactus | accion=saltar
24.35s | detectado=cactus | accion=saltar
24.82s | detectado=cactus | accion=saltar
24.97s | detectado=cactus | accion=saltar
25.72s | detectado=cactus | accion=saltar
25.87s | detectado=cactus | accion=saltar
26.54s | detectado=cactus | accion=saltar
26.69s | detectado=cactus | accion=saltar
26.85s | detectado=cactus | accion=saltar
27.83s | detectado=cactus | accion=saltar
27.98s | detectado=cactus | accion=saltar
28.78s | detectado=cactus | accion=saltar
28.91s | detectado=cactus | accion=saltar
29.07s | detectado=cactus | accion=saltar
30.45s | detectado=cactus | accion=saltar
30.60s | detectado=cactus | accion=saltar
31.39s | detectado=cactus | accion=saltar
31.54s | detectado=cactus | accion=saltar
32.40s | detectado=cactus | accion=saltar
32.56s | detectado=cactus | accion=saltar
32.96s | detectado=cactus | accion=saltar
33.12s | detectado=cactus | accion=saltar
34.36s | detectado=cactus | accion=saltar
34.51s | detectado=cactus | accion=saltar
35.14s | detectado=cactus | accion=saltar
35.29s | detectado=cactus | accion=saltar
35.86s | detectado=cactus | accion=saltar
36.01s | detectado=cactus | accion=saltar
37.11s | detectado=cactus | accion=saltar
37.25s | detectado=cactus | accion=saltar
37.38s | detectado=cactus | accion=saltar
38.04s | detectado=cactus | accion=saltar
38.18s | detectado=cactus | accion=saltar
38.31s | detectado=cactus | accion=saltar
38.77s | detectado=cactus | accion=saltar
38.92s | detectado=cactus | accion=saltar
39.79s | detectado=cactus | accion=saltar
39.94s | detectado=cactus | accion=saltar
40.71s | detectado=cactus | accion=saltar
40.87s | detectado=cactus | accion=saltar
41.66s | detectado=cactus | accion=saltar
41.82s | detectado=cactus | accion=saltar
43.24s | detectado=cactus | accion=saltar
43.39s | detectado=cactus | accion=saltar
44.03s | detectado=cactus | accion=saltar
44.18s | detectado=cactus | accion=saltar
44.34s | detectado=cactus | accion=saltar
46.08s | detectado=cactus | accion=saltar
46.23s | detectado=cactus | accion=saltar
46.96s | detectado=cactus | accion=saltar
47.10s | detectado=cactus | accion=saltar
48.43s | detectado=cactus | accion=saltar
48.57s | detectado=cactus | accion=saltar
49.08s | detectado=cactus | accion=saltar
49.23s | detectado=cactus | accion=saltar
49.38s | detectado=cactus | accion=saltar
51.13s | detectado=cactus | accion=saltar
51.27s | detectado=cactus | accion=saltar
52.32s | detectado=cactus | accion=saltar
52.48s | detectado=cactus | accion=saltar
53.73s | detectado=cactus | accion=saltar
53.89s | detectado=cactus | accion=saltar
54.02s | detectado=cactus | accion=saltar
55.34s | detectado=cactus | accion=saltar
55.49s | detectado=cactus | accion=saltar
57.03s | detectado=cactus | accion=saltar
57.18s | detectado=cactus | accion=saltar
57.86s | detectado=cactus | accion=saltar
58.11s | detectado=cactus | accion=saltar
58.42s | detectado=cactus | accion=saltar
99.44s | detectado=cactus | accion=saltar
99.59s | detectado=cactus | accion=saltar
99.74s | detectado=cactus | accion=saltar
100.71s | detectado=cactus | accion=saltar
100.86s | detectado=cactus | accion=saltar
101.02s | detectado=cactus | accion=saltar
101.57s | detectado=cactus | accion=saltar
101.72s | detectado=cactus | accion=saltar
102.37s | detectado=cactus | accion=saltar
102.52s | detectado=cactus | accion=saltar
102.66s | detectado=cactus | accion=saltar
103.99s | detectado=cactus | accion=saltar
104.17s | detectado=cactus | accion=saltar
104.30s | detectado=cactus | accion=saltar
