Metricas de partida
===================
Fecha: 2026-05-25T08:20:10
Modo: pixeles
Saltos: 470
Tiempo total: 275.90 segundos
Tiempo primer-ultimo salto: 266.80 segundos
Puntaje final: 4222
cambios fondo:6
Eventos detectados
------------------
75.56s | detectado=pajaro | accion=saltar
76.78s | detectado=pajaro | accion=saltar
76.93s | detectado=pajaro | accion=saltar
77.91s | detectado=cactus | accion=saltar
78.06s | detectado=cactus | accion=saltar
79.61s | detectado=cactus | accion=saltar
79.77s | detectado=cactus | accion=saltar
79.91s | detectado=cactus | accion=saltar
81.26s | detectado=cactus | accion=saltar
81.40s | detectado=cactus | accion=saltar
82.42s | detectado=cactus | accion=saltar
82.57s | detectado=cactus | accion=saltar
82.98s | detectado=cactus | accion=saltar
83.13s | detectado=cactus | accion=saltar
83.66s | detectado=cactus | accion=saltar
83.80s | detectado=cactus | accion=saltar
83.94s | detectado=cactus | accion=saltar
85.23s | detectado=pajaro | accion=saltar
85.38s | detectado=pajaro | accion=saltar
86.65s | detectado=cactus | accion=saltar
86.80s | detectado=cactus | accion=saltar
88.62s | detectado=cactus | accion=saltar
88.77s | detectado=cactus | accion=saltar
90.27s | detectado=cactus | accion=saltar
90.40s | detectado=cactus | accion=saltar
91.73s | detectado=pajaro | accion=saltar
91.87s | detectado=pajaro | accion=saltar
93.06s | detectado=cactus | accion=saltar
93.20s | detectado=cactus | accion=saltar
94.61s | detectado=cactus | accion=saltar
94.88s | detectado=cactus | accion=saltar
95.57s | detectado=cactus | accion=saltar
95.72s | detectado=cactus | accion=saltar
96.40s | detectado=pajaro | accion=saltar
96.56s | detectado=pajaro | accion=saltar
99.47s | detectado=cactus | accion=saltar
99.63s | detectado=cactus | accion=saltar
100.89s | detectado=cactus | accion=saltar
101.05s | detectado=cactus | accion=saltar
102.46s | detectado=cactus | accion=saltar
102.61s | detectado=cactus | accion=saltar
103.63s | detectado=cactus | accion=saltar
103.79s | detectado=cactus | accion=saltar
104.93s | detectado=cactus | accion=saltar
105.08s | detectado=cactus | accion=saltar
107.68s | detectado=cactus | accion=saltar
107.81s | detectado=cactus | accion=saltar
109.38s | detectado=cactus | accion=saltar
109.52s | detectado=cactus | accion=saltar
110.42s | detectado=cactus | accion=saltar
110.58s | detectado=cactus | accion=saltar
111.59s | detectado=cactus | accion=saltar
111.73s | detectado=cactus | accion=saltar
111.87s | detectado=cactus | accion=saltar
113.18s | detectado=cactus | accion=saltar
113.33s | detectado=cactus | accion=saltar
114.59s | detectado=pajaro | accion=saltar
114.74s | detectado=pajaro | accion=saltar
114.87s | detectado=pajaro | accion=saltar
115.92s | detectado=pajaro | accion=saltar
116.07s | detectado=pajaro | accion=saltar
116.22s | detectado=pajaro | accion=saltar
117.41s | detectado=cactus | accion=saltar
117.55s | detectado=cactus | accion=saltar
118.41s | detectado=pajaro | accion=saltar
118.54s | detectado=pajaro | accion=saltar
118.68s | detectado=pajaro | accion=saltar
119.84s | detectado=pajaro | accion=saltar
119.97s | detectado=pajaro | accion=saltar
121.20s | detectado=cactus | accion=saltar
121.36s | detectado=cactus | accion=saltar
121.95s | detectado=cactus | accion=saltar
122.09s | detectado=cactus | accion=saltar
122.23s | detectado=cactus | accion=saltar
123.57s | detectado=pajaro | accion=saltar
123.74s | detectado=pajaro | accion=saltar
123.88s | detectado=pajaro | accion=saltar
126.64s | detectado=cactus | accion=saltar
126.81s | detectado=cactus | accion=saltar
127.78s | detectado=pajaro | accion=saltar
127.94s | detectado=cactus | accion=saltar
129.91s | detectado=cactus | accion=saltar
130.06s | detectado=cactus | accion=saltar
130.98s | detectado=pajaro | accion=saltar
131.14s | detectado=pajaro | accion=saltar
133.52s | detectado=cactus | accion=saltar
133.69s | detectado=cactus | accion=saltar
136.10s | detectado=cactus | accion=saltar
136.24s | detectado=cactus | accion=saltar
137.45s | detectado=cactus | accion=saltar
137.60s | detectado=cactus | accion=saltar
138.84s | detectado=cactus | accion=saltar
139.06s | detectado=cactus | accion=saltar
140.20s | detectado=cactus | accion=saltar
140.35s | detectado=cactus | accion=saltar
141.62s | detectado=cactus | accion=saltar
141.76s | detectado=cactus | accion=saltar
142.97s | detectado=pajaro | accion=saltar
143.13s | detectado=cactus | accion=saltar
144.35s | detectado=pajaro | accion=saltar
144.50s | detectado=cactus | accion=saltar
145.61s | detectado=cactus | accion=saltar
146.77s | detectado=cactus | accion=saltar
146.91s | detectado=cactus | accion=saltar
148.00s | detectado=cactus | accion=saltar
148.15s | detectado=cactus | accion=saltar
149.29s | detectado=cactus | accion=saltar
149.44s | detectado=cactus | accion=saltar
150.62s | detectado=cactus | accion=saltar
150.77s | detectado=cactus | accion=saltar
151.29s | detectado=cactus | accion=saltar
151.44s | detectado=cactus | accion=saltar
153.91s | detectado=cactus | accion=saltar
154.87s | detectado=cactus | accion=saltar
155.03s | detectado=cactus | accion=saltar
156.17s | detectado=cactus | accion=saltar
156.32s | detectado=cactus | accion=saltar
157.50s | detectado=cactus | accion=saltar
157.72s | detectado=cactus | accion=saltar
157.85s | detectado=cactus | accion=saltar
158.01s | detectado=cactus | accion=saltar
158.14s | detectado=cactus | accion=saltar
159.33s | detectado=cactus | accion=saltar
159.49s | detectado=cactus | accion=saltar
159.63s | detectado=cactus | accion=saltar
160.70s | detectado=pajaro | accion=saltar
160.83s | detectado=pajaro | accion=saltar
161.87s | detectado=cactus | accion=saltar
162.03s | detectado=cactus | accion=saltar
162.16s | detectado=cactus | accion=saltar
163.24s | detectado=pajaro | accion=saltar
164.26s | detectado=cactus | accion=saltar
164.39s | detectado=cactus | accion=saltar
164.53s | detectado=cactus | accion=saltar
165.51s | detectado=cactus | accion=saltar
165.65s | detectado=cactus | accion=saltar
166.13s | detectado=cactus | accion=saltar
166.26s | detectado=cactus | accion=saltar
166.40s | detectado=cactus | accion=saltar
167.31s | detectado=cactus | accion=saltar
167.45s | detectado=cactus | accion=saltar
168.38s | detectado=pajaro | accion=saltar
168.52s | detectado=pajaro | accion=saltar
169.47s | detectado=cactus | accion=saltar
169.61s | detectado=cactus | accion=saltar
169.75s | detectado=cactus | accion=saltar
170.79s | detectado=pajaro | accion=saltar
170.93s | detectado=pajaro | accion=saltar
171.91s | detectado=cactus | accion=saltar
172.05s | detectado=cactus | accion=saltar
172.71s | detectado=cactus | accion=saltar
172.85s | detectado=cactus | accion=saltar
176.74s | detectado=cactus | accion=saltar
176.89s | detectado=cactus | accion=saltar
177.65s | detectado=pajaro | accion=saltar
177.80s | detectado=pajaro | accion=saltar
178.86s | detectado=cactus | accion=saltar
179.59s | detectado=cactus | accion=saltar
180.48s | detectado=cactus | accion=saltar
180.63s | detectado=cactus | accion=saltar
181.69s | detectado=pajaro | accion=saltar
181.84s | detectado=pajaro | accion=saltar
182.75s | detectado=cactus | accion=saltar
183.83s | detectado=cactus | accion=saltar
183.96s | detectado=cactus | accion=saltar
184.99s | detectado=cactus | accion=saltar
185.13s | detectado=cactus | accion=saltar
186.04s | detectado=pajaro | accion=saltar
186.17s | detectado=pajaro | accion=saltar
187.22s | detectado=cactus | accion=saltar
187.39s | detectado=cactus | accion=saltar
187.85s | detectado=cactus | accion=saltar
188.48s | detectado=cactus | accion=saltar
188.64s | detectado=cactus | accion=saltar
189.51s | detectado=cactus | accion=saltar
189.66s | detectado=cactus | accion=saltar
190.73s | detectado=pajaro | accion=saltar
191.75s | detectado=cactus | accion=saltar
191.91s | detectado=cactus | accion=saltar
192.92s | detectado=cactus | accion=saltar
193.57s | detectado=cactus | accion=saltar
194.16s | detectado=cactus | accion=saltar
194.32s | detectado=cactus | accion=saltar
194.99s | detectado=cactus | accion=saltar
195.15s | detectado=cactus | accion=saltar
195.29s | detectado=cactus | accion=saltar
197.20s | detectado=pajaro | accion=saltar
197.35s | detectado=pajaro | accion=saltar
198.38s | detectado=cactus | accion=saltar
199.32s | detectado=cactus | accion=saltar
199.45s | detectado=cactus | accion=saltar
200.56s | detectado=pajaro | accion=saltar
200.70s | detectado=pajaro | accion=saltar
201.56s | detectado=cactus | accion=saltar
201.70s | detectado=cactus | accion=saltar
202.78s | detectado=pajaro | accion=saltar
202.91s | detectado=pajaro | accion=saltar
203.91s | detectado=cactus | accion=saltar
204.05s | detectado=cactus | accion=saltar
204.88s | detectado=pajaro | accion=saltar
205.02s | detectado=pajaro | accion=saltar
205.15s | detectado=pajaro | accion=saltar
206.08s | detectado=cactus | accion=saltar
206.22s | detectado=cactus | accion=saltar
206.35s | detectado=cactus | accion=saltar
207.25s | detectado=cactus | accion=saltar
207.38s | detectado=cactus | accion=saltar
208.31s | detectado=cactus | accion=saltar
208.45s | detectado=cactus | accion=saltar
208.89s | detectado=cactus | accion=saltar
209.03s | detectado=cactus | accion=saltar
209.97s | detectado=cactus | accion=saltar
210.11s | detectado=cactus | accion=saltar
210.24s | detectado=cactus | accion=saltar
211.13s | detectado=cactus | accion=saltar
211.29s | detectado=cactus | accion=saltar
212.25s | detectado=cactus | accion=saltar
212.39s | detectado=cactus | accion=saltar
212.94s | detectado=cactus | accion=saltar
213.09s | detectado=cactus | accion=saltar
214.07s | detectado=cactus | accion=saltar
214.21s | detectado=cactus | accion=saltar
215.24s | detectado=cactus | accion=saltar
215.39s | detectado=cactus | accion=saltar
216.48s | detectado=pajaro | accion=saltar
216.63s | detectado=cactus | accion=saltar
217.64s | detectado=cactus | accion=saltar
217.79s | detectado=cactus | accion=saltar
218.76s | detectado=cactus | accion=saltar
218.90s | detectado=cactus | accion=saltar
219.90s | detectado=cactus | accion=saltar
220.04s | detectado=cactus | accion=saltar
222.07s | detectado=cactus | accion=saltar
222.65s | detectado=cactus | accion=saltar
222.80s | detectado=cactus | accion=saltar
223.80s | detectado=cactus | accion=saltar
224.88s | detectado=cactus | accion=saltar
225.87s | detectado=cactus | accion=saltar
226.02s | detectado=cactus | accion=saltar
227.08s | detectado=cactus | accion=saltar
227.23s | detectado=cactus | accion=saltar
228.25s | detectado=cactus | accion=saltar
228.39s | detectado=cactus | accion=saltar
230.37s | detectado=cactus | accion=saltar
230.50s | detectado=cactus | accion=saltar
231.54s | detectado=cactus | accion=saltar
232.60s | detectado=cactus | accion=saltar
233.62s | detectado=cactus | accion=saltar
234.73s | detectado=cactus | accion=saltar
236.86s | detectado=pajaro | accion=saltar
237.01s | detectado=pajaro | accion=saltar
237.14s | detectado=pajaro | accion=saltar
238.03s | detectado=cactus | accion=saltar
238.89s | detectado=pajaro | accion=saltar
239.03s | detectado=pajaro | accion=saltar
239.95s | detectado=cactus | accion=saltar
240.10s | detectado=cactus | accion=saltar
240.44s | detectado=cactus | accion=saltar
240.58s | detectado=cactus | accion=saltar
241.47s | detectado=pajaro | accion=saltar
241.60s | detectado=pajaro | accion=saltar
242.64s | detectado=cactus | accion=saltar
242.78s | detectado=cactus | accion=saltar
243.81s | detectado=cactus | accion=saltar
244.49s | detectado=pajaro | accion=saltar
244.63s | detectado=pajaro | accion=saltar
244.76s | detectado=pajaro | accion=saltar
245.64s | detectado=pajaro | accion=saltar
245.78s | detectado=pajaro | accion=saltar
245.91s | detectado=pajaro | accion=saltar
246.76s | detectado=cactus | accion=saltar
246.90s | detectado=cactus | accion=saltar
247.04s | detectado=cactus | accion=saltar
249.07s | detectado=cactus | accion=saltar
249.22s | detectado=cactus | accion=saltar
252.49s | detectado=cactus | accion=saltar
252.65s | detectado=cactus | accion=saltar
253.34s | detectado=cactus | accion=saltar
253.49s | detectado=cactus | accion=saltar
254.25s | detectado=pajaro | accion=saltar
254.41s | detectado=pajaro | accion=saltar
255.27s | detectado=cactus | accion=saltar
255.41s | detectado=cactus | accion=saltar
256.41s | detectado=cactus | accion=saltar
256.57s | detectado=cactus | accion=saltar
256.71s | detectado=cactus | accion=saltar
258.78s | detectado=cactus | accion=saltar
258.97s | detectado=cactus | accion=saltar
259.11s | detectado=cactus | accion=saltar
259.92s | detectado=cactus | accion=saltar
260.99s | detectado=cactus | accion=saltar
261.53s | detectado=cactus | accion=saltar
261.69s | detectado=cactus | accion=saltar
262.67s | detectado=cactus | accion=saltar
262.82s | detectado=cactus | accion=saltar
263.77s | detectado=cactus | accion=saltar
263.93s | detectado=cactus | accion=saltar
264.93s | detectado=cactus | accion=saltar
265.47s | detectado=pajaro | accion=saltar
265.62s | detectado=pajaro | accion=saltar
265.76s | detectado=pajaro | accion=saltar
266.63s | detectado=cactus | accion=saltar
266.88s | detectado=cactus | accion=saltar
268.89s | detectado=cactus | accion=saltar
269.04s | detectado=cactus | accion=saltar
270.04s | detectado=cactus | accion=saltar
270.18s | detectado=cactus | accion=saltar
271.61s | detectado=pajaro | accion=saltar
271.74s | detectado=pajaro | accion=saltar
271.88s | detectado=pajaro | accion=saltar
272.02s | detectado=pajaro | accion=saltar
272.17s | detectado=pajaro | accion=saltar
272.31s | detectado=pajaro | accion=saltar
272.47s | detectado=pajaro | accion=saltar
272.61s | detectado=pajaro | accion=saltar
272.77s | detectado=pajaro | accion=saltar
272.92s | detectado=pajaro | accion=saltar
